Account Type;Member Tags;User Tags;RSVP'ed;Registration Date;Registration Option;Are you an IE Alumni?;Year of graduation;Degree;Section (please, type N/A if this is not applicable to your program);Country;I'm interested in networking around ... (please choose one);Please let us know if you have any allergies or dietary restrictions:;Which roles are you most interested in? (Mark all that apply);Attendee's Comment;Officer's Notes;Paid;Quantity;Payment Status;Payment Date;Checked-In Date;Gateway Number;Event Registration UID;Unnamed: 40
Alumni;"""Club Leader,FRIDAY June 7th,SATURDAY 8 de junio,GALA""";"""SOUTH AFRICA,Programa Master_en,English,non_associate,Madrid,Alumni,GAW 24,Last Online after 2020""";Yes;02/08/2024 9:02;Gala Dinner Spring Sale Ticket - ENDED;Yes;2016;Executive MBA;;Namibia;;;;;;179.0;1.0;COMPLETE;02/08/2024 7:56;6/19/2024 12:47:28 PM;bkeq3k74;9ab27a5d-c657-11ee-af10-0a31732c095b;
Alumni;"""IMBA Jan 2019""";"""ITALY,Programa Master_en,English,associate,Madrid,Alumni,IMBA-ENG,IMBA-ENG ENE-2019""";Yes;02/08/2024 9:58;GAW early bird ticket - ENDED;Yes;2019;International MBA;J4;Italy;Technology ;No;;;;99.0;1.0;COMPLETE;02/08/2024 8:55;;2ydmahxa;d3d2e49d-c65f-11ee-af10-0a31732c095b;
Alumni;"""IMBA Jan 2019,Visibility YES""";"""ITALY,Programa Master_en,English,associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;02/08/2024 10:14;GAW early bird ticket - ENDED;Yes;2019;International MBA;J4;Italy;Technology ;No;;;;99.0;1.0;COMPLETE;02/08/2024 9:02;;gzkr1ksv;d7c38cde-c660-11ee-af10-0a31732c095b;
Alumni;"""Visibility YES""";"""LEBANON,Programa Master_en,English,associate,Madrid,Alumni,EXMPLT JAN-2021,EXMPLT,GAW 24,Last Online after 2020""";Yes;02/08/2024 10:44;GAW early bird ticket - ENDED;Yes;2021;Executive Master in Positive Leadership & Transformation;;Lebanon;Diversified Industries (FMCG, Healthcare, Industrial, Luxury, Retail, Pharma, Energy, Hospitality, Sports, etc.);;;;;99.0;1.0;COMPLETE;02/08/2024 9:40;;m1bntbnm;37eb9672-c1da-11ee-af10-0a31732c095b;
Alumni;"""Visibility YES""";"""LEBANON,Programa Master_en,English,associate,Madrid,Alumni,EXMPLT JAN-2021,EXMPLT,GAW 24,Last Online after 2020""";Yes;02/08/2024 10:44;Gala Dinner Spring Sale Ticket - ENDED;Yes;2021;Executive Master in Positive Leadership & Transformation;;Lebanon;;;;;;179.0;1.0;COMPLETE;02/08/2024 9:40;;m1bntbnm;37eb9672-c1da-11ee-af10-0a31732c095b;
Alumni;"""IMBA Oct 2003,Visibility YES,FRIDAY June 7th,SATURDAY GUEST""";"""IRELAND,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;02/08/2024 11:43;GAW early bird ticket - ENDED;Yes;2004;International MBA (English);;Ireland;Diversified Industries (FMCG, Healthcare, Industrial, Luxury, Retail, Pharma, Energy, Hospitality, Sports, etc.);No;;;+1 is also alumni: Patrick Moriarty. Both are IMBA 2004, S3;99.0;1.0;COMPLETE;02/08/2024 10:34;06/07/2024 17:31;9phsgrj0;a8bbd48e-c66d-11ee-af10-0a31732c095b;
Alumni;"""IMBA Oct 2003,Visibility YES,FRIDAY June 7th,SATURDAY GUEST""";"""IRELAND,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;02/08/2024 11:43;GAW early bird ticket - ENDED;Yes;2004;International MBA (English);;Ireland;Technology ;No;;;+1 is also alumni: Patrick Moriarty. Both are IMBA 2004, S3;99.0;1.0;COMPLETE;02/08/2024 10:34;06/07/2024 17:31;9phsgrj0;a8bbd48e-c66d-11ee-af10-0a31732c095b;
Alumni;"""Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio""";"""MEXICO,Programa Master_en,English,non_associate,Madrid,Alumni,Programa Master Oficial_en,IMBA-ENG,MBA (OF),GAW 24,Last Online after 2020""";Yes;02/08/2024 11:46;GAW early bird ticket - ENDED;Yes;2010;International MBA;N3;Spain;Real Estate / Arquitecture / Design;No;;;;99.0;1.0;COMPLETE;02/08/2024 10:43;06/07/2024 19:31;b2bm59nn;f7183537-c66e-11ee-af10-0a31732c095b;
Alumni;"""EMBA-ES S Oct 2018,Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio""";"""SPAIN,Programa Master_en,Spanish,associate,Madrid,EMBA-ES-S,Alumni""";Yes;02/08/2024 12:51;GAW early bird ticket - ENDED;Yes;2019;Executive MBA español presencial semanal;;Spain;Consulting;allergy to crustaceans;;;;99.0;1.0;COMPLETE;02/08/2024 11:49;06/07/2024 17:07;c7pnefet;1a4044f7-c678-11ee-af10-0a31732c095b;
Alumni;"""Visibility YES""";"""GEORGIA,Programa Master_en,English,associate,Madrid,Alumni,GXMBA,GAW 24,Last Online after 2020""";Yes;02/08/2024 13:24;GAW early bird ticket - ENDED;Yes;2019;Global Executive MBA;;Georgia;Real Estate / Arquitecture / Design;;;;;99.0;1.0;COMPLETE;02/08/2024 12:21;;2aq2kq9c;99fc732d-c67c-11ee-af10-0a31732c095b;
Alumni;"""Visibility YES""";"""GEORGIA,Programa Master_en,English,associate,Madrid,Alumni,GXMBA,GAW 24,Last Online after 2020""";Yes;02/08/2024 13:24;Gala Dinner Spring Sale Ticket - ENDED;Yes;2019;GXMBA;;Georgia;;;;;;179.0;1.0;COMPLETE;02/08/2024 12:21;;2aq2kq9c;99fc732d-c67c-11ee-af10-0a31732c095b;
Alumni;"""Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio""";"""RUSSIA,Programa Master_en,English,non_associate,Madrid,GXMBA MAY-2015,Alumni,GXMBA,GAW 24,Last Online after 2020""";Yes;02/09/2024 11:41;GAW early bird ticket - ENDED;Yes;2016;Global Executive MBA;;Russia;Technology ;no;;;;99.0;1.0;COMPLETE;02/09/2024 10:38;06/07/2024 18:26;a0mnz8cx;5e614fb7-c737-11ee-af10-0a31732c095b;
Alumni;"""IMBA Oct 2003,Visibility YES,FRIDAY June 7th""";"""GERMANY,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;02/09/2024 14:14;GAW early bird ticket - ENDED;Yes;2004;International MBA;;Germany;Diversified Industries (FMCG, Healthcare, Industrial, Luxury, Retail, Pharma, Energy, Hospitality, Sports, etc.);;;;;99.0;1.0;COMPLETE;02/09/2024 13:11;06/07/2024 20:26;0648mz6s;b91729a4-c74c-11ee-af10-0a31732c095b;
Alumni;"""Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio""";"""GERMANY,Programa Master_en,English,non_associate,Madrid,HIOPS,IEXL-ENG-LSD,Alumni,EMBA+ENG/BW,IEXL-ENG-LSD OCT-2021,EMBA+ENG/BW NOV-2012""";Yes;02/10/2024 11:39;GAW early bird ticket - ENDED;Yes;2014;Executive Master of Business Administration (EMBA);Advanced Global Management;Germany;Technology ;none;;;;99.0;1.0;COMPLETE;02/10/2024 10:33;06/07/2024 15:58;bmg8qcyb;dbfabd34-c7ff-11ee-8b9a-0a31732c095b;
Alumni;"""IMBA April 2013,Visibility YES,SATURDAY 8 de junio""";"""LUXEMBOURG,Programa Master_en,English,non_associate,Alumni,GAW 24,Last Online after 2020""";Yes;02/04/2024 18:30;GAW early bird ticket - ENDED;Yes;2014;International MBA;A3;Luxembourg;Other; O;;;;99.0;1.0;COMPLETE;02/10/2024 11:47;06/08/2024 11:51;qedx3y4f;eda82367-c00d-11ee-af10-0a31732c095b;
Alumni;"""IMBA April 2013,Visibility YES,SATURDAY 8 de junio""";"""LUXEMBOURG,Programa Master_en,English,non_associate,Alumni,GAW 24,Last Online after 2020""";Yes;02/04/2024 18:30;GAW early bird ticket - ENDED;No;Unknown;B.S.;Na;Luxembourg;Other;No;;;;99.0;1.0;COMPLETE;02/10/2024 11:47;;qedx3y4f;eda82367-c00d-11ee-af10-0a31732c095b;
Alumni;"""Visibility YES,Club Leader,SATURDAY 8 de junio""";"""SPAIN,Executive Programs,Senior Executive Program,Spanish,associate,PLAN-MARKETING ENE-2015,Madrid,Alumni,PE-ESP-CSPS JUN-2022,AD-ESP-AMP-ZAR,NEGOCIACION - ON LINE,PLAN-MARKETING,PE-ESP-CSPS,GAW 24,Last Online after 2020""";Yes;02/10/2024 13:07;Club Leaders;Yes;2013;Advanced Management Program Zaragoza;;Spain;Finance;No;;;;50.0;1.0;COMPLETE;02/10/2024 12:05;06/08/2024 10:22;4d52vzzj;bc89454d-c80c-11ee-8b9a-0a31732c095b;
Alumni;"""IMBA Nov 2013,Visibility YES""";"""SWITZERLAND,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;02/10/2024 20:45;GAW early bird ticket - ENDED;Yes;2014;International MBA;;Switzerland;Technology ;No;;;;99.0;1.0;COMPLETE;02/10/2024 19:41;;c3c21pyj;5b9a754f-c84c-11ee-8b9a-0a31732c095b;
Alumni;"""IMBA Nov 2013,Visibility YES""";"""SWITZERLAND,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;02/10/2024 20:45;Gala Dinner Spring Sale Ticket - ENDED;Yes;2014;International MBA ;;Azerbaijan;;No;;;;179.0;1.0;COMPLETE;02/10/2024 19:41;;c3c21pyj;5b9a754f-c84c-11ee-8b9a-0a31732c095b;
Alumni;"""Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio,GALA""";"""SPAIN,PD-ESP-COAEJ,Management Programs,Spanish,non_associate,PD-ESP-COAEJ FEB-2019,Madrid,Alumni""";Yes;02/11/2024 17:37;GAW early bird ticket - ENDED;Yes;2019;Programa de Dirección en Coaching Ejecutivo ;;Spain;Other;;;;;99.0;1.0;COMPLETE;02/11/2024 16:29;06/07/2024 17:29;fssj9p7a;afe3c386-c8fa-11ee-8b9a-0a31732c095b;
Alumni;"""Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio,GALA""";"""SPAIN,PD-ESP-COAEJ,Management Programs,Spanish,non_associate,PD-ESP-COAEJ FEB-2019,Madrid,Alumni""";Yes;02/11/2024 17:37;Gala Dinner Spring Sale Ticket - ENDED;Yes;2019;Executive Coaching;;Spain;;;;;;179.0;1.0;COMPLETE;02/11/2024 16:29;6/18/2024 5:45:30 PM;fssj9p7a;afe3c386-c8fa-11ee-8b9a-0a31732c095b;
Alumni;"""Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio,GALA""";"""SPAIN,PD-ESP-COAEJ,Management Programs,Spanish,non_associate,PD-ESP-COAEJ FEB-2019,Madrid,Alumni""";Yes;02/11/2024 17:37;KIDS AREA TICKET;;;;;;;;;;;40.0;1.0;COMPLETE;02/11/2024 16:29;06/07/2024 17:29;fssj9p7a;afe3c386-c8fa-11ee-8b9a-0a31732c095b;
Alumni;"""Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio,GALA""";"""SPAIN,PD-ESP-COAEJ,Management Programs,Spanish,non_associate,PD-ESP-COAEJ FEB-2019,Madrid,Alumni""";Yes;02/11/2024 17:37;KIDS AREA TICKET;;;;;;;;;;;40.0;1.0;COMPLETE;02/11/2024 16:29;06/07/2024 17:29;fssj9p7a;afe3c386-c8fa-11ee-8b9a-0a31732c095b;
Alumni;"""Visibility YES,SATURDAY 8 de junio,SUNDAY 9 de junio""";"""FRANCE,Programa Master_en,associate,Alumni,GAW 24,Last Online after 2020""";Yes;02/12/2024 22:40;GAW early bird ticket - ENDED;Yes;2019;Master in Management;Section 5;France;Law;;;;;99.0;1.0;COMPLETE;04/01/2024 19:13;06/08/2024 10:40;f47ed4c0;ec4818d8-c9ee-11ee-8caf-02b922c01bc9;
Alumni;"""IMBA April 2013,FRIDAY GUEST,FRIDAY June 7th""";"""INDIA,Programa Master_en,English,non_associate,Alumni,GAW 24,Last Online after 2020""";Yes;2/14/2024 10:14:19 AM;GAW early bird ticket - ENDED;Yes;2014;International MBA;A3;India;Other;No;;;;99.0;1.0;COMPLETE;2/14/2024 9:09:49 AM;06/07/2024 15:45;h2b5jv0m;ce2a0c6c-cb18-11ee-8caf-02b922c01bc9;
Alumni;"""IMBA April 2013,FRIDAY GUEST,FRIDAY June 7th""";"""INDIA,Programa Master_en,English,non_associate,Alumni,GAW 24,Last Online after 2020""";Yes;2/14/2024 10:14:19 AM;GAW early bird ticket - ENDED;No;Not applicable;;;India;Other;Allergic to Strawberries;;;;99.0;1.0;COMPLETE;2/14/2024 9:09:49 AM;06/07/2024 15:43;h2b5jv0m;ce2a0c6c-cb18-11ee-8caf-02b922c01bc9;
Alumni;"""IMBA Oct 2003,Visibility YES,FRIDAY June 7th""";"""GERMANY,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;2/14/2024 2:48:20 PM;GAW early bird ticket - ENDED;Yes;2004;International MBA;S1;Germany;Media & Entertainment;not applicable;;;;99.0;1.0;COMPLETE;2/14/2024 1:44:58 PM;06/07/2024 17:29;e3w31xg6;3e6908bb-cb3f-11ee-8caf-02b922c01bc9;
Alumni;"""IMBA Oct 2003,Visibility YES,FRIDAY June 7th,FRIDAY GUEST,SUNDAY 9 de junio,SUNDAY GUEST,SATURDAY 8 de junio,SATURDAY GUEST""";"""VENEZUELA,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;2/15/2024 1:23:37 PM;GAW early bird ticket - ENDED;Yes;2004;International MBA;na;Venezuela;Diversified Industries (FMCG, Healthcare, Industrial, Luxury, Retail, Pharma, Energy, Hospitality, Sports, etc.);Shrimp;;;;99.0;1.0;COMPLETE;2/15/2024 12:15:07 PM;06/07/2024 15:50;4h1v204e;db75333e-cbfb-11ee-8caf-02b922c01bc9;
Alumni;"""IMBA Oct 2003,Visibility YES,FRIDAY June 7th,FRIDAY GUEST,SUNDAY 9 de junio,SUNDAY GUEST,SATURDAY 8 de junio,SATURDAY GUEST""";"""VENEZUELA,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;2/15/2024 1:23:37 PM;GAW early bird ticket - ENDED;No;Unknown;;;Venezuela;Other;shrimp;;;;99.0;1.0;COMPLETE;2/15/2024 12:15:07 PM;06/07/2024 15:50;4h1v204e;db75333e-cbfb-11ee-8caf-02b922c01bc9;
Alumni;"""IMBA Oct 2003,Visibility YES,FRIDAY June 7th,FRIDAY GUEST,SUNDAY 9 de junio,SUNDAY GUEST,SATURDAY 8 de junio,SATURDAY GUEST""";"""VENEZUELA,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;2/15/2024 1:23:37 PM;KIDS AREA TICKET;;;;;;;no;;;;40.0;1.0;COMPLETE;2/15/2024 12:15:07 PM;06/07/2024 15:50;4h1v204e;db75333e-cbfb-11ee-8caf-02b922c01bc9;
Alumni;"""IMBA Oct 2003,Visibility YES,FRIDAY June 7th,FRIDAY GUEST,SUNDAY 9 de junio,SUNDAY GUEST,SATURDAY 8 de junio,SATURDAY GUEST""";"""VENEZUELA,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;2/15/2024 1:23:37 PM;KIDS AREA TICKET;;;;;;;NO;;;;40.0;1.0;COMPLETE;2/15/2024 12:15:07 PM;06/07/2024 15:50;4h1v204e;db75333e-cbfb-11ee-8caf-02b922c01bc9;
Alumni;"""Visibility YES,FRIDAY June 7th,SUNDAY 9 de junio,GALA""";"""GERMANY,Programa Master_en,non_associate,Alumni,GAW 24,Last Online after 2020""";Yes;2/15/2024 6:15:07 PM;GAW early bird ticket - ENDED;Yes;2013;International MBA;N4;Germany;Consulting;No;;;;99.0;1.0;COMPLETE;2/15/2024 5:10:31 PM;06/07/2024 16:43;2afqrqgj;1f9bd96a-cc25-11ee-8caf-02b922c01bc9;
Alumni;"""Visibility YES,FRIDAY June 7th,SUNDAY 9 de junio,GALA""";"""GERMANY,Programa Master_en,non_associate,Alumni,GAW 24,Last Online after 2020""";Yes;2/15/2024 6:15:07 PM;Gala Dinner Spring Sale Ticket - ENDED;Yes;2013;IMBA;N4;Germany;;No;;;;179.0;1.0;COMPLETE;2/15/2024 5:10:31 PM;6/19/2024 12:17:31 PM;2afqrqgj;1f9bd96a-cc25-11ee-8caf-02b922c01bc9;
Alumni;"""IMBA April 2013,Visibility YES,FRIDAY June 7th""";"""UNITED STATES OF AMERICA,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;2/18/2024 2:16:32 AM;GAW early bird ticket - ENDED;Yes;2014;International MBA;A1;United States Of America;Diversified Industries (FMCG, Healthcare, Industrial, Luxury, Retail, Pharma, Energy, Hospitality, Sports, etc.);Na;;;;99.0;1.0;COMPLETE;2/18/2024 1:12:12 AM;06/07/2024 16:41;2g8djng6;bedd1adc-cdfa-11ee-8caf-02b922c01bc9;
Alumni;"""IMBA April 2013,Visibility YES,FRIDAY June 7th""";"""UNITED STATES OF AMERICA,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;2/18/2024 2:16:32 AM;Gala Dinner Spring Sale Ticket - ENDED;Yes;2014;MBA;A1;United States Of America;;Na;;;;179.0;1.0;COMPLETE;2/18/2024 1:12:12 AM;;2g8djng6;bedd1adc-cdfa-11ee-8caf-02b922c01bc9;
Alumni;"""IMBA Nov 2008,FRIDAY June 7th,SATURDAY 8 de junio,SUNDAY 9 de junio""";"""PERU,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;2/18/2024 4:58:32 PM;GAW early bird ticket - ENDED;Yes;2009;International MBA;;Peru;Consulting;none;;;;99.0;1.0;COMPLETE;2/18/2024 3:56:52 PM;06/07/2024 16:30;m8wg4h07;54e5de2d-ce76-11ee-8caf-02b922c01bc9;
Alumni;"""MIM Oct 2008,Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio,SUNDAY 9 de junio""";"""PERU,Programa Master_en,English,non_associate,Alumni,Programa Master Oficial_en,GAW 24,Last Online after 2020""";Yes;2/18/2024 5:08:57 PM;Class Reunion Committee Members;Yes;2009;Master in Management;M1 (section english);Peru;Finance;No.;;;;65.0;1.0;COMPLETE;2/18/2024 4:06:52 PM;06/07/2024 16:29;hx1bbd1h;ba7ade78-ce77-11ee-8caf-02b922c01bc9;
Alumni;"""IMBA Oct 2003,Visibility YES""";"""MEXICO,Programa Master_en,English,non_associate,Madrid,Alumni,GAW 24,Last Online after 2020""";Yes;2/18/2024 7:11:00 PM;GAW early bird ticket - ENDED;Yes;2004;International MBA;S3;Mexico;Consulting;NO;;;;99.0;1.0;COMPLETE;2/18/2024 6:03:02 PM;;rnnq9rmm;f4fb42f8-ce87-11ee-8caf-02b922c01bc9;
Alumni;"""IMBA Jan 2019,Visibility YES,FRIDAY June 7th""";"""LEBANON,Programa Master_en,English,associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;1/30/2024 3:17:05 PM;GAW early bird ticket - ENDED;Yes;2019;International MBA;J3;Lebanon;Diversified Industries (FMCG, Healthcare, Industrial, Luxury, Retail, Pharma, Energy, Hospitality, Sports, etc.);No;;;;99.0;1.0;COMPLETE;1/30/2024 2:14:52 PM;06/07/2024 17:17;da2sxhkg;ef73b8c5-bf79-11ee-af10-0a31732c095b;
Alumni;"""IMBA Oct 2003,Visibility YES,FRIDAY June 7th""";"""UNITED KINGDOM,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,IMBA-ENG OCT-2003""";Yes;02/07/2024 17:03;GAW early bird ticket - ENDED;Yes;2004;International MBA;S3;Brazil;Other;no;;;;99.0;1.0;COMPLETE;2/19/2024 11:43:15 AM;06/07/2024 16:32;mrm3weh5;388deb8f-c5d2-11ee-af10-0a31732c095b;
Alumni;"""IMBA Jan 2019,Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio,SUNDAY 9 de junio""";"""FRANCE,Programa Master_en,English,associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;2/19/2024 2:02:39 PM;GAW early bird ticket - ENDED;Yes;2019;International MBA;J3;France;Diversified Industries (FMCG, Healthcare, Industrial, Luxury, Retail, Pharma, Energy, Hospitality, Sports, etc.);Vegetarian (I just don't eat meat);;;;99.0;1.0;COMPLETE;3/23/2024 6:12:50 PM;06/07/2024 16:46;36hegw79;90e14052-cf26-11ee-8caf-02b922c01bc9;
Alumni;"""Visibility YES,FRIDAY June 7th,GALA""";"""UNITED STATES OF AMERICA,Programa Master_en,English,non_associate,IMBA-ENG SEP-2015,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;2/20/2024 12:27:36 AM;GAW early bird ticket - ENDED;Yes;2016;International MBA;S3;United States Of America;Finance;;;;;99.0;1.0;COMPLETE;2/19/2024 11:22:11 PM;06/07/2024 16:01;kvbrn77f;2301094f-c590-11ee-af10-0a31732c095b;
Alumni;"""Visibility YES,FRIDAY June 7th,GALA""";"""UNITED STATES OF AMERICA,Programa Master_en,English,non_associate,IMBA-ENG SEP-2015,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;2/20/2024 12:27:36 AM;Gala Dinner Spring Sale Ticket - ENDED;Yes;2016;International MBA;S3;United States Of America;;;;;;179.0;1.0;COMPLETE;2/19/2024 11:22:11 PM;6/18/2024 3:56:50 PM;kvbrn77f;2301094f-c590-11ee-af10-0a31732c095b;
Alumni;"""GXMBA June 2013,Visibility YES,FRIDAY June 7th,FRIDAY GUEST,SATURDAY GUEST,SATURDAY 8 de junio,SUNDAY 9 de junio,GALA,GALA GUEST""";"""Programa Master_en,English,non_associate,Madrid,Alumni,GXMBA,GAW 24,Last Online after 2020""";Yes;2/20/2024 2:28:38 AM;GAW early bird ticket - ENDED;Yes;2014;Global Executive MBA;;Canada;Consulting;none;;"I would like to make sure my name is listed as ""Gerry"" not ""Gerard Michael Soltis""";;99.0;1.0;COMPLETE;2/20/2024 1:18:19 AM;06/07/2024 16:23;q29zvbja;ee91656c-cf8d-11ee-9f6c-02b922c01bc9;
Alumni;"""GXMBA June 2013,Visibility YES,FRIDAY June 7th,FRIDAY GUEST,SATURDAY GUEST,SATURDAY 8 de junio,SUNDAY 9 de junio,GALA,GALA GUEST""";"""Programa Master_en,English,non_associate,Madrid,Alumni,GXMBA,GAW 24,Last Online after 2020""";Yes;2/20/2024 2:28:38 AM;GAW early bird ticket - ENDED;No;Not applicable;MBA;;Canada;Finance;none;;"I would like to make sure my name is listed as ""Gerry"" not ""Gerard Michael Soltis""";;99.0;1.0;COMPLETE;2/20/2024 1:18:19 AM;06/07/2024 16:23;q29zvbja;ee91656c-cf8d-11ee-9f6c-02b922c01bc9;
Alumni;"""GXMBA June 2013,Visibility YES,FRIDAY June 7th,FRIDAY GUEST,SATURDAY GUEST,SATURDAY 8 de junio,SUNDAY 9 de junio,GALA,GALA GUEST""";"""Programa Master_en,English,non_associate,Madrid,Alumni,GXMBA,GAW 24,Last Online after 2020""";Yes;2/20/2024 2:28:38 AM;Gala Dinner Spring Sale Ticket - ENDED;Yes;2014;Global Executive MBA;;Canada;;none;;"I would like to make sure my name is listed as ""Gerry"" not ""Gerard Michael Soltis""";;179.0;1.0;COMPLETE;2/20/2024 1:18:19 AM;6/18/2024 4:19:37 PM;q29zvbja;ee91656c-cf8d-11ee-9f6c-02b922c01bc9;
Alumni;"""GXMBA June 2013,Visibility YES,FRIDAY June 7th,FRIDAY GUEST,SATURDAY GUEST,SATURDAY 8 de junio,SUNDAY 9 de junio,GALA,GALA GUEST""";"""Programa Master_en,English,non_associate,Madrid,Alumni,GXMBA,GAW 24,Last Online after 2020""";Yes;2/20/2024 2:28:38 AM;Gala Dinner Spring Sale Ticket - ENDED;No;Not applicable;MBA;;Canada;;none;;"I would like to make sure my name is listed as ""Gerry"" not ""Gerard Michael Soltis""";;179.0;1.0;COMPLETE;2/20/2024 1:18:19 AM;6/18/2024 4:19:13 PM;q29zvbja;ee91656c-cf8d-11ee-9f6c-02b922c01bc9;
Alumni;"""IMBA Nov 2013,Visibility YES,FRIDAY June 7th,GALA,GALA GUEST""";"""AUSTRALIA,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;2/20/2024 8:12:41 AM;Class Reunion Committee Members;Yes;2014;International MBA;N6;Australia;Finance;;;;;65.0;1.0;COMPLETE;2/20/2024 7:04:42 AM;06/07/2024 16:54;gqkngnb4;526f0a66-cfbe-11ee-a691-02b922c01bc9;
Alumni;"""IMBA Nov 2013,Visibility YES,FRIDAY June 7th,GALA,GALA GUEST""";"""AUSTRALIA,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;2/20/2024 8:12:41 AM;Gala Dinner Spring Sale Ticket - ENDED;Yes;2014;IMBA;N6;Australia;;;;;;179.0;1.0;COMPLETE;2/20/2024 7:04:42 AM;6/19/2024 12:34:42 PM;gqkngnb4;526f0a66-cfbe-11ee-a691-02b922c01bc9;
Alumni;"""IMBA Nov 2013,Visibility YES,FRIDAY June 7th,GALA,GALA GUEST""";"""AUSTRALIA,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;2/20/2024 8:12:41 AM;Gala Dinner Spring Sale Ticket - ENDED;No;Not applicable;;;United States Of America;;;;;;179.0;1.0;COMPLETE;2/20/2024 7:04:42 AM;6/19/2024 12:34:15 PM;gqkngnb4;526f0a66-cfbe-11ee-a691-02b922c01bc9;
Alumni;"""Visibility YES,FRIDAY June 7th,GALA""";"""GERMANY,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;2/20/2024 11:33:12 AM;GAW early bird ticket - ENDED;Yes;2010;International MBA (English);N3;Germany;Diversified Industries (FMCG, Healthcare, Industrial, Luxury, Retail, Pharma, Energy, Hospitality, Sports, etc.);;;;;99.0;1.0;COMPLETE;2/20/2024 10:27:43 AM;06/07/2024 19:06;pa4dtdc0;ae79a6f2-cfda-11ee-a691-02b922c01bc9;
Alumni;"""Visibility YES,FRIDAY June 7th,GALA""";"""GERMANY,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;2/20/2024 11:33:12 AM;Gala Dinner Spring Sale Ticket - ENDED;Yes;2010;International MBA (English);N3 ;Germany;;;;;;179.0;1.0;COMPLETE;2/20/2024 10:27:43 AM;6/19/2024 12:55:47 PM;pa4dtdc0;ae79a6f2-cfda-11ee-a691-02b922c01bc9;
Alumni;"""IMBA Oct 2003,Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio""";"""IRELAND,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;2/20/2024 8:20:57 PM;GAW early bird ticket - ENDED;Yes;2004;International MBA;S4;Ireland;Technology ;No;;;;99.0;1.0;COMPLETE;2/20/2024 7:17:47 PM;06/07/2024 17:36;e1pjqq5s;bb76aeb9-d024-11ee-a691-02b922c01bc9;
