Account Type;Member Tags;User Tags;RSVP'ed;Registration Date;Registration Option;Are you an IE Alumni?;Year of graduation;Degree;Section (please, type N/A if this is not applicable to your program);Country;I'm interested in networking around ... (please choose one);Please let us know if you have any allergies or dietary restrictions:;Which roles are you most interested in? (Mark all that apply);Attendee's Comment;Officer's Notes;Paid;Quantity;Payment Status;Payment Date;Checked-In Date;Gateway Number;Event Registration UID;Unnamed: 40
Alumni;"""Club Leader,FRIDAY June 7th,SATURDAY 8 de junio,SUNDAY 9 de junio""";"""SPAIN,Degree,English,non_associate,BAR SEP-2016,Madrid,Alumni,GAW 24,Last Online after 2020""";Yes;1/30/2024 11:26:22 AM;Club Leaders;Yes;2021;Bachelor in Architecture ;;Spain;Real Estate / Arquitecture / Design;I do not eat pork. ;;;;50.0;1.0;COMPLETE;1/30/2024 10:24:50 AM;06/07/2024 16:27;8nryev70;cca4dbfb-bf59-11ee-af10-0a31732c095b;
Alumni;"""IMBA April 2013,Visibility YES,FRIDAY June 7th,FRIDAY GUEST,SATURDAY 8 de junio,SATURDAY GUEST,SUNDAY 9 de junio,SUNDAY GUEST,GALA,GALA GUEST""";"""IRELAND,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;1/30/2024 12:55:43 PM;Class Reunion Committee Members;Yes;2014;International MBA;A1;Ireland;Finance;;;;;65.0;1.0;COMPLETE;1/30/2024 11:44:24 AM;06/07/2024 15:38;3je0kgt4;082c20d6-bf63-11ee-af10-0a31732c095b;
Alumni;"""IMBA April 2013,Visibility YES,FRIDAY June 7th,FRIDAY GUEST,SATURDAY 8 de junio,SATURDAY GUEST,SUNDAY 9 de junio,SUNDAY GUEST,GALA,GALA GUEST""";"""IRELAND,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;1/30/2024 12:55:43 PM;GAW early bird ticket - ENDED;No;Not applicable;;;Spain;Technology ;;;;;99.0;1.0;COMPLETE;1/30/2024 11:44:24 AM;06/07/2024 15:39;3je0kgt4;082c20d6-bf63-11ee-af10-0a31732c095b;
Alumni;"""IMBA April 2013,Visibility YES,FRIDAY June 7th,FRIDAY GUEST,SATURDAY 8 de junio,SATURDAY GUEST,SUNDAY 9 de junio,SUNDAY GUEST,GALA,GALA GUEST""";"""IRELAND,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;1/30/2024 12:55:43 PM;Gala Dinner Spring Sale Ticket - ENDED;Yes;2014;International MBA;A1;Ireland;;;;;;179.0;1.0;COMPLETE;1/30/2024 11:44:24 AM;6/18/2024 5:45:50 PM;3je0kgt4;082c20d6-bf63-11ee-af10-0a31732c095b;
Alumni;"""IMBA April 2013,Visibility YES,FRIDAY June 7th,FRIDAY GUEST,SATURDAY 8 de junio,SATURDAY GUEST,SUNDAY 9 de junio,SUNDAY GUEST,GALA,GALA GUEST""";"""IRELAND,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;1/30/2024 12:55:43 PM;Gala Dinner Spring Sale Ticket - ENDED;No;Not applicable;;;Spain;;;;;;179.0;1.0;COMPLETE;1/30/2024 11:44:24 AM;6/19/2024 11:39:22 AM;3je0kgt4;082c20d6-bf63-11ee-af10-0a31732c095b;
Alumni;"""IMBA April 2013,Visibility YES,FRIDAY June 7th,FRIDAY GUEST,SATURDAY 8 de junio,SATURDAY GUEST,SUNDAY 9 de junio,SUNDAY GUEST,GALA,GALA GUEST""";"""IRELAND,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;1/30/2024 12:55:43 PM;KIDS AREA TICKET;;;;;;;;;;;40.0;1.0;COMPLETE;1/30/2024 11:44:24 AM;06/07/2024 15:38;3je0kgt4;082c20d6-bf63-11ee-af10-0a31732c095b;
Alumni;"""IMBA Nov 2013,Visibility YES,Club Leader,FRIDAY GUEST,FRIDAY June 7th,SATURDAY 8 de junio,SATURDAY GUEST,SUNDAY 9 de junio,GALA,GALA GUEST""";"""GERMANY,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;1/30/2024 1:38:25 PM;Club Leaders;Yes;2014;International MBA;N4;Germany;Finance;-;;;;50.0;1.0;COMPLETE;1/30/2024 12:27:48 PM;06/12/2024 12:45;a2ty47j3;fa5d0090-bf6a-11ee-af10-0a31732c095b;
Alumni;"""IMBA Nov 2013,Visibility YES,Club Leader,FRIDAY GUEST,FRIDAY June 7th,SATURDAY 8 de junio,SATURDAY GUEST,SUNDAY 9 de junio,GALA,GALA GUEST""";"""GERMANY,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;1/30/2024 1:38:25 PM;GAW early bird ticket - ENDED;No;Not applicable;Medical Doctor;;Germany;Diversified Industries (FMCG, Healthcare, Industrial, Luxury, Retail, Pharma, Energy, Hospitality, Sports, etc.);-;;;;99.0;1.0;COMPLETE;1/30/2024 12:27:48 PM;06/07/2024 20:31;a2ty47j3;fa5d0090-bf6a-11ee-af10-0a31732c095b;
Alumni;"""IMBA Nov 2013,Visibility YES,Club Leader,FRIDAY GUEST,FRIDAY June 7th,SATURDAY 8 de junio,SATURDAY GUEST,SUNDAY 9 de junio,GALA,GALA GUEST""";"""GERMANY,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;1/30/2024 1:38:25 PM;Gala Dinner Spring Sale Ticket - ENDED;Yes;2014;International MBA;N4;Germany;;-;;;;179.0;1.0;COMPLETE;1/30/2024 12:27:48 PM;6/19/2024 12:13:24 PM;a2ty47j3;fa5d0090-bf6a-11ee-af10-0a31732c095b;
Alumni;"""IMBA Nov 2013,Visibility YES,Club Leader,FRIDAY GUEST,FRIDAY June 7th,SATURDAY 8 de junio,SATURDAY GUEST,SUNDAY 9 de junio,GALA,GALA GUEST""";"""GERMANY,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;1/30/2024 1:38:25 PM;Gala Dinner Spring Sale Ticket - ENDED;No;Not applicable;Medical Doctor;;Germany;;-;;;;179.0;1.0;COMPLETE;1/30/2024 12:27:48 PM;06/07/2024 20:31;a2ty47j3;fa5d0090-bf6a-11ee-af10-0a31732c095b;
